MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,ND,TCFSL,SERENCD8.90%SRIICIII&IV,      1078.00,      1078.10,      1080.00,      1078.10,      1078.29,                   409900.20,380, ,8,      1180.00,      1025.55
N,NE,HUDCO,9.01% TAX FREETRII SR3B,      1369.90,      1358.00,      1358.00,      1356.00,      1356.00,                    33902.00,25, ,2,      1547.00,      1330.00
N,NE,IBULHSGFIN,UNS RED NCD 9.15% SR.IX,       901.00,       901.00,       901.00,       901.00,       901.00,                    36941.00,41, ,3,      1150.00,       786.00
N,NE,IIFL,UNSE RE NCD 10% SR.I,       985.13,       984.00,       993.96,       983.00,       993.96,                   166560.84,169, ,8,      1031.99,       842.20
N,NE,IRFC,BOND 8.88% PA TF TII-SIIB,      1218.17,      1249.99,      1249.99,      1230.50,      1230.50,                    29578.88,24, ,4,      1619.80,      1202.00
N,NE,L&TFINANCE,SERENCD 8.89% SR.IV OPII,      1047.00,      1062.00,      1062.00,      1062.00,      1062.00,                     1062.00,1, ,1,      1308.00,       950.20
N,NE,NHAI,TAX FREE 7.69% SR. IIB,      1211.00,      1238.49,      1238.49,      1238.49,      1238.49,                     1238.49,1, ,1,      1298.01,      1192.00
N,NE,RECLTD,BOND8.44% PA TF TR II S1B,      1085.00,      1082.01,      1082.01,      1082.01,      1082.01,                   129841.20,120, ,2,      1360.00,      1073.15
N,NF,DHANILOANS,DHANI LOANS & SERV LTD,       995.00,       980.00,       980.00,       980.00,       980.00,                    79380.00,81, ,6,      1000.00,       835.20
N,NF,IIFL,UNSE RE NCD 9.6% SR.II,       979.00,       977.20,       985.97,       977.20,       981.01,                   722369.29,736, ,21,      1009.50,       820.20
N,NF,RECLTD,BOND8.88% PA TF TR II S2B,      1220.01,      1249.59,      1249.59,      1221.12,      1221.12,                    67303.95,55, ,2,      1349.99,      1220.00
N,NF,TCFSL,UNSERENCD9.1%SRIIICIII&IV,      1171.01,      1180.00,      1185.00,      1180.00,      1185.00,                   118320.00,100, ,3,      1404.00,      1085.05
N,NG,DHANILOANS,DHANI LOANS & SERV LTD,      1015.00,      1020.00,      1020.00,      1020.00,      1020.00,                    47940.00,47, ,1,      1106.10,       845.20
N,NG,ECLFINANCE,SEC RED NCD 9.25% SR. III,      1000.00,       991.11,      1004.00,       991.11,      1004.00,                    15870.65,16, ,2,      1095.00,       850.00
N,NG,IRFC,TAX FREE  7.28% SR. 103,      2100.80,      2100.00,      2100.00,      2100.00,      2100.00,                     2100.00,1, ,1,      2100.80,      1187.25
N,NG,L&TFINANCE,SE RE NCD 9.35% SR.V OPII,      1116.00,      1110.00,      1120.00,      1110.00,      1120.00,                     2230.00,2, ,2,      1275.00,      1065.20
N,NH,ECLFINANCE,SEC RED NCD SR. IV,      1405.04,      1404.00,      1404.00,      1400.00,      1400.00,                   140200.00,100, ,2,      1410.00,      1125.00
N,NH,IFCI,9.90 % SRNCD SR VI,      1063.00,      1063.00,      1064.00,      1061.00,      1061.70,                   863343.40,813, ,9,      1110.00,       965.40
N,NH,IIFL,SEC RE NCD 8.25% SR.I,      1010.00,      1015.00,      1019.80,      1015.00,      1019.80,                   169730.60,167, ,3,      1095.00,       842.20
N,NH,INDIGRID,SEC RE NCD 7.69% SR.IV,      1025.00,      1025.00,      1025.00,      1025.00,      1025.00,                    51250.00,50, ,1,      1049.75,       911.00
N,NH,TCFSL,SERENCD8.45%SR.ICIII&IV,      1067.50,      1064.50,      1067.90,      1064.50,      1067.90,                   381125.20,357, ,5,      1103.40,       940.20
N,NI,ECLFINANCE,SEC RED NCD 9.65% SR. V,      1063.90,      1062.00,      1064.90,      1062.00,      1064.90,                    69044.50,65, ,3,      1067.00,       830.00
N,NI,IIFL,SEC RE NCD 0% SR.II,      1018.00,      1018.00,      1018.00,      1018.00,      1018.00,                    11198.00,11, ,2,      1069.00,       855.20
N,NI,IRFC,TAX FREE  7.32% SR. 102 A,      1108.46,      1108.60,      1109.00,      1108.00,      1108.00,                   128590.00,116, ,4,      1169.85,      1085.00
N,NI,L&TFINANCE,SERENCD 8.98% SR.VI OPII,      1095.00,      1096.00,      1097.99,      1085.00,      1096.12,                   346879.45,317, ,11,      1222.40,      1040.10
N,NJ,ECLFINANCE,SEC RED NCD 9.43% SR. VI,       963.00,       969.00,       969.00,       965.00,       969.00,                   445296.00,460, ,13,       970.00,       825.25
