MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,INDUSINDBK,INDUSIND BANK LIMITED,       866.25,       888.00,       900.00,       881.20,       896.50,               2040888542.10,2286465,Y, ,55112,      1242.00,       811.50
N,EQ,INFY,INFOSYS LIMITED,      1427.15,      1453.00,      1466.75,      1446.70,      1455.15,              15279529309.85,10488908,Y, ,266730,      1953.90,      1320.30
N,EQ,IOC,INDIAN OIL CORP LTD,       117.25,       119.00,       119.20,       116.15,       116.95,               1893070377.85,16158630,Y, ,82106,       141.50,       100.10
N,EQ,ITC,ITC LTD,       275.65,       277.00,       282.35,       277.00,       280.00,               9071060236.55,32370771,Y, ,217504,       282.35,       200.90
N,EQ,JSWSTEEL,JSW STEEL LIMITED,       600.20,       621.00,       634.30,       616.70,       631.10,               3884689663.55,6187868,Y, ,92866,       790.00,       566.00
N,EQ,KOTAKBANK,KOTAK MAHINDRA BANK LTD,      1783.40,      1811.00,      1839.90,      1794.45,      1829.15,               4836144946.75,2649672,Y, ,83431,      2253.00,      1626.00
N,EQ,LT,LARSEN & TOUBRO LTD.,      1547.95,      1569.40,      1613.45,      1561.05,      1610.10,               3479168125.30,2175224,Y, ,61997,      2078.55,      1368.20
N,EQ,M&M,MAHINDRA & MAHINDRA LTD,       882.55,       896.90,       911.35,       888.65,       903.80,               3097498165.25,3426756,Y, ,92204,       979.00,       671.15
N,EQ,MARUTI,MARUTI SUZUKI INDIA LTD.,      7404.55,      7520.55,      7648.90,      7450.00,      7586.60,               5632165612.75,742204,Y, ,76935,      9050.00,      6536.55
N,EQ,NESTLEIND,NESTLE INDIA LIMITED,     16094.25,     16321.00,     16960.00,     16250.05,     16862.00,               2557976003.00,152477,Y, ,32467,     20609.15,     16000.00
N,EQ,NTPC,NTPC LTD,       148.00,       150.95,       150.95,       147.65,       149.60,               2668005553.35,17841739,Y, ,86972,       166.35,       107.80
N,EQ,ONGC,OIL AND NATURAL GAS CORP.,       160.00,       161.65,       163.80,       160.10,       161.90,               1171021517.60,7235654,Y, ,52015,       194.95,       108.50
N,EQ,POWERGRID,POWER GRID CORP. LTD.,       228.30,       230.75,       233.10,       226.75,       229.05,               2608057494.05,11361211,Y, ,81760,       251.50,       167.15
N,EQ,RELIANCE,RELIANCE INDUSTRIES LTD,      2479.85,      2512.50,      2644.40,      2502.00,      2624.45,              25840801772.20,10057508,Y, ,366921,      2856.15,      1930.40
N,EQ,SBILIFE,SBI LIFE INSURANCE CO LTD,      1056.65,      1081.00,      1083.50,      1061.35,      1071.35,               1009922524.00,941175,Y, ,58239,      1293.25,       956.75
N,EQ,SBIN,STATE BANK OF INDIA,       447.50,       454.85,       464.00,       454.15,       462.40,               6263239735.25,13596860,Y, ,151413,       549.00,       363.65
N,EQ,SHREECEM,SHREE CEMENT LIMITED,     22216.35,     22670.00,     23975.00,     21820.15,     22001.20,               1119088270.10,50620,Y, ,15953,     31469.95,     21650.00
N,EQ,SUNPHARMA,SUN PHARMACEUTICAL IND L,       884.60,       893.00,       917.70,       889.05,       915.65,               2620210023.90,2877917,Y, ,124663,       967.05,       652.70
N,EQ,TATACONSUM,TATA CONSUMER PRODUCT LTD,       721.30,       735.00,       742.75,       731.40,       739.60,                890701792.05,1205301,Y, ,34893,       889.00,       638.50
N,EQ,TATAMOTORS,TATA MOTORS LIMITED,       398.65,       410.00,       421.40,       410.00,       418.00,               9813166936.75,23504236,Y, ,312586,       536.70,       268.45
N,EQ,TATASTEEL,TATA STEEL LIMITED,      1122.15,      1162.35,      1178.40,      1141.20,      1170.60,               7606442066.55,6552750,Y, ,151877,      1534.50,      1050.25
N,EQ,TCS,TATA CONSULTANCY SERV LT,      3261.95,      3310.00,      3313.90,      3270.05,      3293.00,              10087497473.50,3065125,Y, ,157647,      4043.00,      3036.00
N,EQ,TECHM,TECH MAHINDRA LIMITED,      1108.35,      1128.00,      1134.80,      1114.75,      1130.90,               2774617932.30,2461651,Y, ,85814,      1838.00,       943.00
N,EQ,TITAN,TITAN COMPANY LIMITED,      2111.95,      2139.90,      2155.55,      2129.20,      2137.05,               2175279300.25,1017542,Y, ,73374,      2768.00,      1438.00
N,EQ,ULTRACEMCO,ULTRATECH CEMENT LIMITED,      6072.60,      6165.00,      6165.00,      6064.20,      6128.65,               2292819366.85,374540,Y, ,35403,      8269.00,      5629.20
N,EQ,UPL,UPL LIMITED,       814.00,       818.00,       828.00,       803.50,       808.25,               1815493814.75,2235524,Y, ,55744,       864.70,       622.00
N,EQ,WIPRO,WIPRO LTD,       451.15,       462.00,       462.20,       455.00,       459.60,               2918981444.95,6365956,Y, ,149463,       739.85,       450.00
 , , , , , , , , , , ,N, , , , 
 , , ,NIFTY Next 50 Sec, , , , , , , ,N, , , , 
N,EQ,ABBOTINDIA,ABBOTT INDIA LIMITED,     18129.30,     18200.00,     18298.45,     17880.60,     17950.45,                262003023.00,14477,N, ,5135,     23934.45,     15514.00
N,EQ,ACC,ACC LIMITED,      2231.00,      2250.90,      2274.40,      2234.55,      2239.40,               1161834859.85,514340,N, ,29928,      2589.00,      1867.40
N,EQ,ADANIENT,ADANI ENTERPRISES LIMITED,      2114.75,      2159.00,      2232.40,      2151.00,      2219.55,               3174591293.70,1444803,N, ,40458,      2420.95,      1201.20
N,EQ,ALKEM,ALKEM LABORATORIES LTD.,      2917.10,      2920.00,      3013.20,      2920.00,      3002.70,                207477825.30,69525,N, ,9220,      4070.00,      2828.00
N,EQ,AMBUJACEM,AMBUJA CEMENTS LTD,       364.00,       368.00,       368.00,       362.05,       363.00,               1570490455.60,4308673,N, ,76120,       442.50,       274.00
N,EQ,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,      3631.80,      3695.00,      3695.00,      3586.00,      3668.00,               2524592548.40,692428,N, ,70776,      5935.40,      3115.10
N,EQ,AUROPHARMA,AUROBINDO PHARMA LTD,       522.85,       523.00,       559.65,       523.00,       557.95,               2330097541.70,4256439,N, ,85912,      1043.10,       520.85
N,EQ,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,      4810.25,      4894.00,      4948.00,      4848.00,      4922.80,                132046709.20,26994,N, ,8127,      6598.00,      3451.00
N,EQ,BANDHANBNK,BANDHAN BANK LIMITED,       314.40,       322.00,       323.55,       311.40,       316.95,               2529252029.60,7976133,N, ,67821,       354.35,       229.55
N,EQ,BERGEPAINT,BERGER PAINTS (I) LTD,       626.95,       638.00,       638.95,       628.00,       630.35,                497011316.75,787158,N, ,22639,       872.95,       620.45
N,EQ,BIOCON,BIOCON LIMITED.,       322.50,       327.05,       340.85,       325.75,       340.00,               1240958414.15,3683548,N, ,57637,       420.25,       314.80
N,EQ,BOSCHLTD,BOSCH LIMITED,     13393.65,     13707.00,     14257.40,     13500.00,     14175.15,                969516563.50,69654,N, ,15210,     19250.00,     12932.45
N,EQ,COLPAL,COLGATE PALMOLIVE LTD.,      1564.60,      1574.90,      1605.00,      1573.05,      1586.90,                318953920.20,200359,N, ,13125,      1823.40,      1375.60
N,EQ,DABUR,DABUR INDIA LTD,       492.10,       497.70,       507.35,       496.85,       503.35,               1082041754.35,2149292,N, ,62292,       658.95,       489.35
N,EQ,DLF,DLF LIMITED,       320.60,       326.00,       336.50,       323.00,       331.50,               2681868986.95,8095291,N, ,80680,       449.70,       250.40
N,EQ,DMART,AVENUE SUPERMARTS LIMITED,      3614.85,      3708.90,      3717.20,      3610.00,      3630.40,               1223202019.50,334172,N, ,34706,      5900.00,      2840.30
N,EQ,GAIL,GAIL (INDIA) LTD,       153.75,       154.55,       157.15,       154.25,       156.30,                912456317.45,5846047,N, ,36708,       173.50,       125.20
N,EQ,GLAND,GLAND PHARMA LIMITED,      3099.50,      3112.00,      3154.70,      3031.15,      3065.70,                683826889.60,223004,N, ,31222,      4350.00,      2770.00
N,EQ,GODREJCP,GODREJ CONSUMER PRODUCTS,       795.60,       775.00,       791.85,       753.50,       758.40,               3154446106.60,4115079,N, ,115427,      1138.00,       660.05
N,EQ,HAVELLS,HAVELLS INDIA LIMITED,      1215.05,      1223.00,      1257.15,      1223.00,      1229.35,                728234405.15,586525,N, ,21598,      1504.45,       958.00
N,EQ,HDFCAMC,HDFC AMC LIMITED,      1706.75,      1724.90,      1736.15,      1704.00,      1706.80,                791057548.95,461456,N, ,29289,      3365.00,      1701.40
N,EQ,HINDPETRO,HINDUSTAN PETROLEUM CORP,       239.00,       243.50,       246.40,       239.05,       243.95,               1532234933.95,6326814,N, ,62511,       354.80,       237.00
N,EQ,ICICIGI,ICICI LOMBARD GIC LIMITED,      1250.95,      1261.00,      1267.90,      1246.55,      1251.60,                662194183.55,528786,N, ,38966,      1675.00,      1192.00
N,EQ,ICICIPRULI,ICICI PRU LIFE INS CO LTD,       498.10,       508.80,       519.30,       503.25,       513.50,                983415661.05,1915040,N, ,50635,       724.30,       430.00
N,EQ,IGL,INDRAPRASTHA GAS LTD,       365.85,       370.40,       382.95,       369.05,       381.30,               1421671092.40,3793409,N, ,39736,       602.05,       321.00
N,EQ,INDIGO,INTERGLOBE AVIATION LTD,      1661.70,      1685.00,      1697.00,      1645.05,      1664.20,                775112674.30,464240,N, ,23407,      2380.00,      1555.10
N,EQ,INDUSTOWER,INDUS TOWERS LIMITED,       193.80,       196.90,       202.60,       196.25,       201.85,                456239038.25,2279582,N, ,31365,       332.80,       181.20
N,EQ,JUBLFOOD,JUBILANT FOODWORKS LTD,       481.70,       488.00,       492.60,       483.00,       487.55,                822203559.95,1686011,N, ,33530,      4590.00,       451.20
N,EQ,LTI,L&T INFOTECH LIMITED,      3991.85,      4080.00,      4085.00,      3983.25,      4043.50,               1993625206.25,494449,N, ,40616,      7588.80,      3525.00
N,EQ,LUPIN,LUPIN LIMITED,       634.85,       636.00,       646.00,       626.00,       638.40,               1679178092.80,2631657,N, ,69951,      1267.65,       620.00
N,EQ,MARICO,MARICO LIMITED,       510.50,       516.10,       531.45,       507.45,       528.55,               1480880574.05,2817153,N, ,53142,       607.70,       455.65
N,EQ,MCDOWELL-N,UNITED SPIRITS LIMITED,       795.80,       810.00,       811.85,       792.15,       798.80,               1077109665.40,1343721,N, ,53859,      1019.95,       563.00
N,EQ,MRF,MRF LTD,     73434.75,     74200.00,     74679.95,     73978.80,     74104.95,                578341530.55,7777,N, ,4712,     87550.00,     63000.00
N,EQ,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,      1160.60,      1172.00,      1175.00,      1151.00,      1159.85,                901163328.65,776963,N, ,19256,      1721.95,      1102.00
N,EQ,NAUKRI,INFO EDGE (I) LTD,      3402.05,      3494.00,      3501.95,      3410.00,      3489.90,               1869257842.90,541631,N, ,40252,      7465.40,      3395.00
N,EQ,NMDC,NMDC LTD.,       140.10,       143.50,       146.85,       142.75,       146.45,                853668878.00,5902406,N, ,35476,       195.20,       125.00
N,EQ,PEL,PIRAMAL ENTERPRISES LTD,      1894.05,      1915.00,      1943.00,      1901.60,      1916.35,                627466619.00,326583,N, ,23513,      3014.95,      1624.00
N,EQ,PETRONET,PETRONET LNG LIMITED,       219.65,       221.50,       228.60,       220.90,       227.95,                650063817.30,2870329,N, ,30669,       252.20,       190.25
N,EQ,PGHH,P&G HYGIENE & HEALTH CARE,     12985.90,     13063.25,     13199.65,     13000.00,     13177.20,                 18434712.75,1408,N, ,653,     16448.70,     12310.10
N,EQ,PIDILITIND,PIDILITE INDUSTRIES LTD,      2117.85,      2131.15,      2147.30,      2090.35,      2139.45,               1243199720.75,586528,N, ,55776,      2764.70,      1855.40
N,EQ,PNB,PUNJAB NATIONAL BANK,        29.20,        29.75,        30.05,        29.55,        29.95,                740402601.90,24793799,N, ,36148,        48.20,        28.45
N,EQ,SBICARD,SBI CARDS & PAY SER LTD,       724.10,       738.00,       745.00,       730.25,       741.40,                725410101.70,983777,N, ,33160,      1165.00,       710.80
