SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
EQ,GTPL,GTPL Hathway Limited, ,03/06/2022,10/06/2022,01/06/2022, , ,AGM/DIV - RS 4 PER SH    
EQ,VBL,Varun Beverages Limited,07/06/2022, , ,06/06/2022, , ,BONUS 1:2                
EQ,NEWGEN,Newgen Software Tech Ltd,16/06/2022, , ,15/06/2022, , ,AGM/DIV - RS 4.5 PER SH  
EQ,COFORGE,Coforge Limited,24/05/2022, , ,23/05/2022, , ,INT DIV - RS 13  PER SH  
EQ,TATACONSUM,TATA CONSUMER PRODUCT LTD, ,11/06/2022,17/06/2022,09/06/2022, , ,AGM/DIV - RS 6.05 PER SH 
EQ,HAPPSTMNDS,Happiest Minds Techno Ltd, ,25/06/2022,30/06/2022,23/06/2022, , ,AGM/DIV - RS 2 PER SH    
EQ,CAMS,Computer Age Mngt Ser Ltd,24/06/2022, , ,23/06/2022, , ,DIV - RS 12 PER SH       
GS,86GS2028,GOI LOAN 8.6% 2028,30/05/2022, , ,27/05/2022, , ,INTEREST PAYMENT         
GS,883GS2023,GOI LOAN 8.83% 2023,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
GS,662GS2051,GOI LOAN 6.62% 2051,26/05/2022, , ,25/05/2022, , ,INTEREST PAYMENT         
GS,585GS2030,GOI LOAN  5.85% 2030,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
GS,815GS2026,GOI LOAN 8.15% 2026,21/05/2022, , ,19/05/2022, , ,INTEREST PAYMENT         
GS,817GS2044,GOI LOAN 8.17% 2044,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
GS,619GS2034,GOI LOAN 6.19% 2034,27/05/2022, , ,26/05/2022, , ,INTEREST PAYMENT         
GS,772GS2025,GOI LOAN 7.72% 2025,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
IV,INDIGRID,India Grid Trust,26/05/2022, , ,25/05/2022, , ,DISTRIBUTION             
IV,PGINVIT,POWERGRID Infra. INVITs,01/06/2022, , ,31/05/2022, , ,DISTRIBUTION             
IV,VIRESCENT,Virescent Renewable Energ,25/05/2022, , ,24/05/2022, , ,DISTRIB - RS 6.12 PER UT 
IV,INDINFR,IndInfravit Trust,28/05/2022, , ,26/05/2022, , ,DISTRIBUTION             
M2,L&TFINANCE,L,08/06/2022, , ,07/06/2022, , ,INTEREST PAYMENT         
M2,IBULHSGFIN,Sec Re NCD 8.05% Sr.III,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
M3,IBULHSGFIN,Sec Re NCD 8.42% Sr.III,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
M3,L&TFINANCE,L,08/06/2022, , ,07/06/2022, , ,INTEREST PAYMENT         
M6,L&TFINANCE,L,08/06/2022, , ,07/06/2022, , ,INTEREST PAYMENT         
M7,L&TFINANCE,L,08/06/2022, , ,07/06/2022, , ,INTEREST PAYMENT         
M7,IBULHSGFIN,Sec Re NCD 8.20% Sr.VI,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
M8,IBULHSGFIN,Sec Re NCD 8.66% Sr.VI,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
MB,IBULHSGFIN,Sec Re NCD 8.43% Sr.VIII,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
MC,IBULHSGFIN,Sec Re NCD 8.89% Sr.VIII,23/05/2022, , ,20/05/2022, , ,INTEREST PAYMENT         
MF,FIFMPS5EDQ,FRANTEMAMC - FIFMPS5EDQ,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5EQP,FRANTEMAMC - FIFMPS5EQP,31/05/2022, , , , , ,REDEMPTION               
MF,UTDAP31P10,UTIAMC - UTDAP31P10,30/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTDGR31P10,UTIAMC - UTDGR31P10,30/05/2022, , , , , ,REDEMPTION               
MF,UTRGR31P10,UTIAMC - UTRGR31P10,30/05/2022, , , , , ,REDEMPTION               
MF,UTRQP31P10,UTIAMC - UTRQP31P10,30/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTDQP31P10,UTIAMC - UTDQP31P10,30/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTDMP31P10,UTIAMC - UTDMP31P10,30/05/2022, , , , , ,DIV/REDEMPTION           
MF,PGIMBAQDD,PRAMERAMC - DPRMBAQDD,30/05/2022, , , , , ,REDEMPTION               
MF,PGIMBAGPG,PRAMERAMC - DPRMBAGPG,30/05/2022, , , , , ,REDEMPTION               
MF,PGIMBADPD,PRAMERAMC - DPRMBADPD,30/05/2022, , , , , ,REDEMPTION               
MF,PGIMBAD1G,PRAMERAMC - DPRMBAD1G,30/05/2022, , , , , ,REDEMPTION               
MF,UTDAP31P02,UTIAMC - UTDAP31P02,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTDGR31P02,UTIAMC - UTDGR31P02,24/05/2022, , , , , ,REDEMPTION               
MF,UTDMP31P02,UTIAMC - UTDMP31P02,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTRQP31P02,UTIAMC - UTRQP31P02,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTDFP31P02,UTIAMC - UTDFP31P02,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTRFP31P02,UTIAMC - UTRFP31P02,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTRMP31P02,UTIAMC - UTRMP31P02,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTRAP31P02,UTIAMC - UTRAP31P02,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,UTRGR31P02,UTIAMC - UTRGR31P02,24/05/2022, , , , , ,REDEMPTION               
MF,UTDQP31P02,UTIAMC - UTDQP31P02,24/05/2022, , , , , ,DIV/REDEMPTION           
MF,FIFMPS6CDP,FRANTEMAMC - FIFMPS6CDP,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS6CRG,FRANTEMAMC - FIFMPS6CRG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS6CDG,FRANTEMAMC - FIFMPS6CDG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS6CQP,FRANTEMAMC - FIFMPS6CQP,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5DG,Fidelity-S V-Plan D - Grw,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5EG,Fidelity-S V-Plan E - Grw,31/05/2022, , , , , ,REDEMPTION               
MF,BSLIQPIRG,BSL IIF- QP - SI -RPG,25/05/2022, , , , , ,STP                      
MF,BSLIQPIRDP,BSL IIF- QP - SI -RPDP,25/05/2022, , , , , ,STP                      
MF,BSLIQPIIDP,BSL IIF- QP - SI -IPDP,25/05/2022, , , , , ,STP                      
MF,FIFMPS5CG,Fidelity-S V-Plan C - Grw,31/05/2022, , , , , ,REDEMPTION               
MF,BSLIFQPIDG,BIRLASLAMC - BSLIFQPIDG,25/05/2022, , , , , ,STP                      
MF,FIFMPS5EDG,FRANTEMAMC - FIFMPS5EDG,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5EDP,FRANTEMAMC - FIFMPS5EDP,31/05/2022, , , , , ,REDEMPTION               
MF,FIFMPS5EDD,FRANTEMAMC - FIFMPS5EDD,31/05/2022, , , , , ,REDEMPTION               
MF,M15DD,SUNDARMAMC - M15DD,31/05/2022, , , , , ,REDEMPTION               
MF,M15DG,SUNDARMAMC - M15DG,31/05/2022, , , , , ,REDEMPTION               
MF,M15RD,SUNDARMAMC - M15RD,31/05/2022, , , , , ,REDEMPTION               
MF,M15RG,SUNDARMAMC - M15RG,31/05/2022, , , , , ,REDEMPTION               
MF,H1372D42RD,HDFCAMC - H1372D42RD,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1372D42DD,HDFCAMC - H1372D42DD,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1372D42RG,HDFCAMC - H1372D42RG,27/06/2022, , , , , ,REDEMPTION               
MF,H1372D42DQ,HDFCAMC - H1372D42DQ,27/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1372D42DG,HDFCAMC - H1372D42DG,27/06/2022, , , , , ,REDEMPTION               
MF,H1344D43DG,HDFCAMC - H1344D43DG,23/06/2022, , , , , ,REDEMPTION               
MF,H1344D43RQ,HDFCAMC - H1344D43RQ,23/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1344D43RD,HDFCAMC - H1344D43RD,23/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1344D43RG,HDFCAMC - H1344D43RG,23/06/2022, , , , , ,REDEMPTION               
MF,H1344D43DD,HDFCAMC - H1344D43DD,23/06/2022, , , , , ,DIV/REDEMPTION           
MF,H1344D43DQ,HDFCAMC - H1344D43DQ,23/06/2022, , , , , ,DIV/REDEMPTION           
MF,IMFFM33DDG,RELIGARAMC - IMFFM33DDG,06/06/2022, , , , , ,DIV/REDEMPTION           
