,Scheme Code,Scheme Name,Net Asset Value,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Date,Repurchase Price,Sale Price
3053,101201,LIC MF Nifty 50 Index Fund-Regular Plan-Growth,15.8117,INF767K01162,,21-Jan-2009,15.8117,17.0401
3054,101200,LIC MF Nifty 50 Index Fund-Regular Plan-IDCW,5.8332,INF767K01154,INF767K01147,21-Jan-2009,5.8332,5.839
3055,101199,LIC MF S & P BSE Sensex Index Fund-Regular Plan-Growth,17.0401,INF767K01139,,21-Jan-2009,17.0401,0.0
3056,101198,LIC MF S & P BSE Sensex Index Fund-Regular Plan-IDCW,5.839,INF767K01121,INF767K01113,21-Jan-2009,5.839,13.8286
3058,100153,Principal Nifty 100 Equal Weight Fund-Growth,18.7714,INF173K01AG2,,21-Jan-2009,18.5837,19.1938
3059,100152,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,11.0236,INF173K01AH0,INF173K01AI8,21-Jan-2009,10.91,11.27
3061,102272,SBI NIFTY INDEX FUND - REGULAR PLAN - GROWTH,23.1199,INF200K01537,,21-Jan-2009,23.1199,23.2355
3062,102273,SBI Nifty Index Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),11.8235,INF200K01545,INF200K01552,21-Jan-2009,11.8235,11.8826
3064,101659,Tata Nifty 50 Index Fund -Regular Plan,16.3131,INF277K01741,,21-Jan-2009,16.15,16.3131
3065,101746,Tata S&P BSE Sensex Index Fund -Regular Plan,21.6565,INF277K01758,,21-Jan-2009,21.4399,21.6565
3067,100822,UTI Nifty 50 Index Fund - Regular Plan - Growth Option,17.0484,INF789F01JN2,,21-Jan-2009,17.0484,17.0484
3068,100823,UTI Nifty 50 Index Fund - Regular Plan - IDCW,8.6808,INF789F01JL6,INF789F01JM4,21-Jan-2009,8.6808,8.6808
3071,106193,KOTAK GOLD ETF,1361.7744,INF174KA1HJ,,21-Jan-2009,1361.7744,1361.7744
3073,107693,Quantum Gold Fund,676.7779,INF082J01408,,21-Jan-2009,676.7779,676.7779
3075,105463,UTI GOLD Exchange Traded Fund,1359.0219,INF789F1AUX7,,21-Jan-2009,1359.0219,0.0
3078,101705,ICICI Prudential S&P BSE Sensex ETF,92.8479,INF346A01034,,21-Jan-2009,92.8479,92.8479
3080,106929,Kotak Nifty PSU Bank ETF,168.6108,INF373I01023,,21-Jan-2009,168.6108,168.6108
3081,109010,Kotak S&P BSE Sensex ETF,88.06,INF174KA1JD7,,21-Jan-2009,88.06,88.06
3083,108479,Quantum Nifty 50 ETF,272.6385,INF082J01028,,21-Jan-2009,272.6385,272.6385
